idx,ID,image_path,topic,sub_topic,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,run_mode,fallback_used,original_error_before_fallback,image_resize_applied,max_image_side,original_image_width,original_image_height,processed_image_width,processed_image_height,input_ids_shape,pixel_values_shape,num_image_crops,model,model_key,source_file,task,is_counting,is_id,gt_num_eval,pred_num_eval,gt_text_eval,pred_text_eval,raw_count_correct,raw_id_exact_correct,raw_correct,alias_id_correct,broad_category_id_correct,auto_correct_strict,auto_correct_broad,visual_broader_correct
0,flag_of_australia_prompt1,original_images/images/Flag of Australia.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",6,6.0,7,7,6,7.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv,Counting,True,False,6.0,7.0,6,7,False,False,False,False,False,False,False,False
1,flag_of_australia_prompt4,original_images/images/Flag of Australia.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of australia,,{Flag of Australia},flag of australia,flag of australia,,True,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv,ID,False,True,,,australia,australia,False,True,True,True,False,True,True,True
2,flag_of_burundi_prompt1,original_images/images/Flag of Burundi.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",3,3.0,3,3,3,3.0,True,True,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv,Counting,True,False,3.0,3.0,3,3,True,False,True,False,False,True,True,True
3,flag_of_burundi_prompt4,original_images/images/Flag of Burundi.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of burundi,,{Flag of Burundi},flag of burundi,flag of burundi,,True,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv,ID,False,True,,,burundi,burundi,False,True,True,True,False,True,True,True
4,flag_of_cape_verde_prompt1,original_images/images/Flag of Cape Verde.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",10,10.0,8,8,10,8.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv,Counting,True,False,10.0,8.0,10,8,False,False,False,False,False,False,False,False
5,flag_of_cape_verde_prompt4,original_images/images/Flag of Cape Verde.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of cape verde,,{Flag of Sao Tome and Principe},flag of sao tome and principe,flag of cape verde,,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv,ID,False,True,,,cape verde,sao tome and principe,False,False,False,False,False,False,False,False
6,flag_of_china_prompt1,original_images/images/Flag of China.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5.0,6,6,5,6.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv,Counting,True,False,5.0,6.0,5,6,False,False,False,False,False,False,False,False
7,flag_of_china_prompt4,original_images/images/Flag of China.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of china,,{Flag of China},flag of china,flag of china,,True,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv,ID,False,True,,,china,china,False,True,True,True,False,True,True,True
8,flag_of_comoros_prompt1,original_images/images/Flag of Comoros.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv,Counting,True,False,4.0,4.0,4,4,True,False,True,False,False,True,True,True
9,flag_of_comoros_prompt4,original_images/images/Flag of Comoros.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of comoros,,{Flag of Somalia},flag of somalia,flag of comoros,,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv,ID,False,True,,,comoros,somalia,False,False,False,False,False,False,False,False
