idx,ID,image_path,topic,sub_topic,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,run_mode,fallback_used,original_error_before_fallback,image_resize_applied,max_image_side,original_image_width,original_image_height,processed_image_width,processed_image_height,input_ids_shape,pixel_values_shape,num_image_crops,model,model_key,source_file
0,flag_of_australia_prompt1,original_images/images/Flag of Australia.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",6,6.0,7,7,6,7.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
1,flag_of_australia_prompt4,original_images/images/Flag of Australia.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of australia,,{Flag of Australia},flag of australia,flag of australia,,True,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
2,flag_of_burundi_prompt1,original_images/images/Flag of Burundi.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",3,3.0,3,3,3,3.0,True,True,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
3,flag_of_burundi_prompt4,original_images/images/Flag of Burundi.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of burundi,,{Flag of Burundi},flag of burundi,flag of burundi,,True,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
4,flag_of_cape_verde_prompt1,original_images/images/Flag of Cape Verde.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",10,10.0,8,8,10,8.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
5,flag_of_cape_verde_prompt4,original_images/images/Flag of Cape Verde.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of cape verde,,{Flag of Sao Tome and Principe},flag of sao tome and principe,flag of cape verde,,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
6,flag_of_china_prompt1,original_images/images/Flag of China.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5.0,6,6,5,6.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
7,flag_of_china_prompt4,original_images/images/Flag of China.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of china,,{Flag of China},flag of china,flag of china,,True,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
8,flag_of_comoros_prompt1,original_images/images/Flag of Comoros.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
9,flag_of_comoros_prompt4,original_images/images/Flag of Comoros.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of comoros,,{Flag of Somalia},flag of somalia,flag of comoros,,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
10,flag_of_cuba_prompt1,original_images/images/Flag of Cuba.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5.0,3,3,5,3.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
11,flag_of_cuba_prompt4,original_images/images/Flag of Cuba.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of cuba,,{Flag of Cuba},flag of cuba,flag of cuba,,True,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
12,flag_of_europe_prompt1,original_images/images/Flag of Europe.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",12,12.0,12,12,12,12.0,True,True,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
13,flag_of_europe_prompt4,original_images/images/Flag of Europe.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of europe,,{Flag of the European Union},flag of the european union,flag of europe,,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
14,flag_of_greece_prompt1,original_images/images/Flag of Greece.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",9,9.0,4,4,9,4.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
15,flag_of_greece_prompt4,original_images/images/Flag of Greece.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of greece,,{Flag of Greece},flag of greece,flag of greece,,True,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
16,flag_of_grenada_prompt1,original_images/images/Flag of Grenada.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",7,7.0,8,8,7,8.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
17,flag_of_grenada_prompt4,original_images/images/Flag of Grenada.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of grenada,,{Flag of Grenada},flag of grenada,flag of grenada,,True,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
18,flag_of_malaysia_prompt1,original_images/images/Flag of Malaysia.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",14,14.0,9,9,14,9.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
19,flag_of_malaysia_prompt4,original_images/images/Flag of Malaysia.png,Flags,flags,ID,"What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.","What country flag is this? Answer in curly brackets, e.g., {Flag of Vietnam}.",Flag of malaysia,,{Flag of Malaysia},flag of malaysia,flag of malaysia,,True,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2736)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
20,flag_of_new_zealand_prompt1,original_images/images/Flag of New Zealand.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4.0,4,4,4,4.0,True,True,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,LLaVA-OV-7B,llava,llava_original_model_outputs.csv
