idx,ID,image_path,topic,sub_topic,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,detected_digit,detected_token_text,answer_step,candidate_policy,candidate_set,valid_single_token_candidates,skipped_multitoken_candidates,gt_token_id,gt_token_variant,gt_logprob_token,proxy_bias_value,proxy_bias_token_id,proxy_bias_token_variant,proxy_bias_logprob_token,margin_token,prefers_gt_token,gt_rank_window_token,entropy_token,num_valid_single_token_candidates,num_skipped_multitoken_candidates
0,flag_of_australia_prompt1,original_images/images/Flag of Australia.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",6,6,{4},4,6,4,False,False,,4,4,1,"GT±2, single-token only","[4, 5, 6, 7, 8]","[4, 5, 6, 7, 8]",[],21,6,-1.3558473587036133,4,19,4,-1.1058473587036133,-0.25,False,2,1.6132100820541382,5,0
2,flag_of_burundi_prompt1,original_images/images/Flag of Burundi.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3,{3},3,3,3,True,True,,3,3,1,"GT±2, single-token only","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",[],18,3,-0.0437639057636261,4,19,4,-3.5437638759613037,3.4999999701976776,True,1,0.22811055183410645,5,0
6,flag_of_china_prompt1,original_images/images/Flag of China.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",5,5,{5},5,5,5,True,True,,5,5,1,"GT±2, single-token only","[3, 4, 5, 6, 7]","[3, 4, 5, 6, 7]",[],20,5,-0.0927758514881134,6,21,6,-3.280275821685791,3.1874999701976776,True,1,0.4185038208961487,5,0
8,flag_of_comoros_prompt1,original_images/images/Flag of Comoros.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{5},5,4,5,False,False,,5,5,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-1.0827008485794067,5,20,5,-1.0045758485794067,-0.078125,False,2,1.3875035047531128,5,0
10,flag_of_cuba_prompt1,original_images/images/Flag of Cuba.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",5,5,{3},3,5,3,False,False,,3,3,1,"GT±2, single-token only","[3, 4, 5, 6, 7]","[3, 4, 5, 6, 7]",[],20,5,-4.095362186431885,3,18,3,-0.18911199271678925,-3.9062501937150955,False,3,0.6493160724639893,5,0
14,flag_of_greece_prompt1,original_images/images/Flag of Greece.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",9,9,{12,{12,9,12,False,False,,1,1,1,"GT±2, single-token only","[7, 8, 9, 10, 11]","[7, 8, 9]","[10, 11]",24,9,-2.535479784011841,8,23,8,-1.9938137531280518,-0.5416660308837891,False,2,1.580836296081543,3,2
16,flag_of_grenada_prompt1,original_images/images/Flag of Grenada.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",7,7,{8},8,7,8,False,False,,8,8,1,"GT±2, single-token only","[5, 6, 7, 8, 9]","[5, 6, 7, 8, 9]",[],22,7,-1.7016876935958862,8,23,8,-0.9204376935958862,-0.78125,False,2,1.5509731769561768,5,0
20,flag_of_new_zealand_prompt1,original_images/images/Flag of New Zealand.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.1463012546300888,3,18,3,-2.58380126953125,2.437500014901161,True,1,0.5446704030036926,5,0
22,flag_of_singapore_prompt1,original_images/images/Flag of Singapore.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",5,5,{5},5,5,5,True,True,,5,5,1,"GT±2, single-token only","[3, 4, 5, 6, 7]","[3, 4, 5, 6, 7]",[],20,5,-0.6528623700141907,6,21,6,-0.9341123700141907,0.28125,True,1,1.000492811203003,5,0
24,flag_of_thailand_prompt1,original_images/images/Flag of Thailand.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",5,5,{5},5,5,5,True,True,,5,5,1,"GT±2, single-token only","[3, 4, 5, 6, 7]","[3, 4, 5, 6, 7]",[],20,5,-0.5402524471282959,4,19,4,-1.212127447128296,0.671875,True,1,1.082964301109314,5,0
26,flag_of_uruguay_prompt1,original_images/images/Flag of Uruguay.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",9,9,{4},4,9,4,False,False,,4,4,1,"GT±2, single-token only","[7, 8, 9, 10, 11]","[7, 8, 9]","[10, 11]",24,9,-7.699418544769287,7,22,7,-5.5982279777526855,-2.1011905670166016,False,3,1.0738937854766846,3,2
30,flag_of_venezuela_prompt1,original_images/images/Flag of Venezuela.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",8,8,{8},8,8,8,True,True,,8,8,1,"GT±2, single-token only","[6, 7, 8, 9, 10]","[6, 7, 8, 9]",[10],23,8,-0.22679820656776428,7,22,7,-3.2424232959747314,3.015625089406967,True,1,0.7176592946052551,4,1
32,flag_of_zimbabwe_prompt1,original_images/images/Flag of Zimbabwe.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",7,7,{5},5,7,5,False,False,,5,5,1,"GT±2, single-token only","[5, 6, 7, 8, 9]","[5, 6, 7, 8, 9]",[],22,7,-2.855839967727661,5,20,5,-0.9964649081230164,-1.8593750596046448,False,3,1.6087652444839478,5,0
34,flag_of_the_philippines_prompt1,original_images/images/Flag of the Philippines.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3,{3},3,3,3,True,True,,3,3,1,"GT±2, single-token only","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",[],18,3,-0.6299983263015747,2,17,2,-1.3799983263015747,0.75,True,1,1.1670531034469604,5,0
38,african_elephant_prompt1,original_images/images/african elephant.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.001073380233719945,2,17,2,-8.266698837280273,8.265625457046553,True,1,0.011379159055650234,5,0
40,african_wild_dog_prompt1,original_images/images/african wild dog.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.006926927715539932,6,21,6,-6.678802013397217,6.671875085681677,True,1,0.05767619609832764,5,0
42,alpaca_prompt1,original_images/images/alpaca.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.001128156203776598,6,21,6,-7.751128196716309,7.750000040512532,True,1,0.011098803021013737,5,0
44,antelope_prompt1,original_images/images/antelope.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.00998254306614399,6,21,6,-5.541232585906982,5.531250042840838,True,1,0.07227110862731934,5,0
46,arctic_fox_prompt1,original_images/images/arctic fox.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.0049972631968557835,6,21,6,-6.723747253417969,6.718749990221113,True,1,0.04198618233203888,5,0
48,asian_elephant_prompt1,original_images/images/asian elephant.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.0008272086852230132,2,17,2,-8.610201835632324,8.609374626947101,True,1,0.008850866928696632,5,0
50,audi_prompt1,original_images/images/audi_black_convertible_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.02124621905386448,3,18,3,-4.193121433258057,4.171875214204192,True,1,0.12586243450641632,5,0
52,audi_prompt1,original_images/images/audi_black_coupe_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.08155244588851929,3,18,3,-2.675302505493164,2.5937500596046448,True,1,0.3222430944442749,5,0
54,audi_prompt1,original_images/images/audi_black_hatchback_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{3},3,4,3,False,False,,3,3,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-2.419329881668091,3,18,3,-0.16932988166809082,-2.25,False,2,0.5988092422485352,5,0
56,audi_prompt1,original_images/images/audi_black_sedan_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.6193351149559021,3,18,3,-0.9005851149559021,0.28125,True,1,0.9464496970176697,5,0
58,audi_prompt1,original_images/images/audi_black_suv_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.5035707950592041,3,18,3,-1.050445795059204,0.546875,True,1,0.8883510231971741,5,0
60,audi_prompt1,original_images/images/audi_gray_convertible_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{3},3,4,3,False,False,,3,3,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-1.0597529411315918,3,18,3,-0.6847530007362366,-0.3749999403953552,False,2,1.134022831916809,5,0
62,audi_prompt1,original_images/images/audi_gray_coupe_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.34500962495803833,3,18,3,-1.3293845653533936,0.9843749403953552,True,1,0.7409035563468933,5,0
64,audi_prompt1,original_images/images/audi_gray_hatchback_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.6339360475540161,3,18,3,-1.1808110475540161,0.546875,True,1,1.1615791320800781,5,0
66,audi_prompt1,original_images/images/audi_gray_sedan_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.411586731672287,3,18,3,-1.3490867614746094,0.9375000298023224,True,1,0.9255340099334717,5,0
68,audi_prompt1,original_images/images/audi_gray_suv_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.5681772232055664,3,18,3,-1.2400522232055664,0.671875,True,1,1.1312421560287476,5,0
70,audi_prompt1,original_images/images/audi_white_convertible_0.png,Logos,cars,Counting/Illusion,"How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.","How many overlapping circles are there in the logo of this car? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4,{4},4,4,4,True,True,,4,4,1,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.29443415999412537,3,18,3,-1.5444341897964478,1.2500000298023224,True,1,0.7515089511871338,5,0
