idx,ID,topic,sub_topic,ground_truth_num,candidate,candidate_str,status,span_mode,seq_logprob,avg_logprob,char_logprob,entropy_step1,entropy_mean,n_tokens,candidate_token_ids,token_logprobs
0,flag_of_australia_prompt1,Flags,flags,6,4,4,ok,exact,-16.331844329833984,-16.331844329833984,-16.331844329833984,0.030894815921783447,0.030894815921783447,1,[19],[-16.331844329833984]
0,flag_of_australia_prompt1,Flags,flags,6,5,5,ok,exact,-13.292780876159668,-13.292780876159668,-13.292780876159668,0.030894815921783447,0.030894815921783447,1,[20],[-13.292780876159668]
0,flag_of_australia_prompt1,Flags,flags,6,6,6,ok,exact,-14.097468376159668,-14.097468376159668,-14.097468376159668,0.030894815921783447,0.030894815921783447,1,[21],[-14.097468376159668]
0,flag_of_australia_prompt1,Flags,flags,6,7,7,ok,exact,-12.159968376159668,-12.159968376159668,-12.159968376159668,0.030894815921783447,0.030894815921783447,1,[22],[-12.159968376159668]
0,flag_of_australia_prompt1,Flags,flags,6,8,8,ok,exact,-15.894343376159668,-15.894343376159668,-15.894343376159668,0.030894815921783447,0.030894815921783447,1,[23],[-15.894343376159668]
2,flag_of_burundi_prompt1,Flags,flags,3,1,1,ok,exact,-16.45565414428711,-16.45565414428711,-16.45565414428711,0.02193514257669449,0.02193514257669449,1,[16],[-16.45565414428711]
2,flag_of_burundi_prompt1,Flags,flags,3,2,2,ok,exact,-17.74471664428711,-17.74471664428711,-17.74471664428711,0.02193514257669449,0.02193514257669449,1,[17],[-17.74471664428711]
2,flag_of_burundi_prompt1,Flags,flags,3,3,3,ok,exact,-12.47127914428711,-12.47127914428711,-12.47127914428711,0.02193514257669449,0.02193514257669449,1,[18],[-12.47127914428711]
2,flag_of_burundi_prompt1,Flags,flags,3,4,4,ok,exact,-11.15877914428711,-11.15877914428711,-11.15877914428711,0.02193514257669449,0.02193514257669449,1,[19],[-11.15877914428711]
2,flag_of_burundi_prompt1,Flags,flags,3,5,5,ok,exact,-14.04159164428711,-14.04159164428711,-14.04159164428711,0.02193514257669449,0.02193514257669449,1,[20],[-14.04159164428711]
4,flag_of_cape_verde_prompt1,Flags,flags,10,8,8,ok,exact,-13.032759666442871,-13.032759666442871,-13.032759666442871,0.014619284309446812,0.014619284309446812,1,[23],[-13.032759666442871]
4,flag_of_cape_verde_prompt1,Flags,flags,10,9,9,ok,exact,-16.032758712768555,-16.032758712768555,-16.032758712768555,0.014619284309446812,0.014619284309446812,1,[24],[-16.032758712768555]
4,flag_of_cape_verde_prompt1,Flags,flags,10,10,10,ok,exact,-15.816484332084656,-7.908242166042328,-7.908242166042328,0.014619284309446812,0.471146818716079,2,"[16, 15]","[-15.478072166442871, -0.33841216564178467]"
4,flag_of_cape_verde_prompt1,Flags,flags,10,11,11,ok,exact,-18.722734451293945,-9.361367225646973,-9.361367225646973,0.014619284309446812,0.471146818716079,2,"[16, 16]","[-15.478072166442871, -3.244662284851074]"
4,flag_of_cape_verde_prompt1,Flags,flags,10,12,12,ok,exact,-17.066484332084656,-8.533242166042328,-8.533242166042328,0.014619284309446812,0.471146818716079,2,"[16, 17]","[-15.478072166442871, -1.5884121656417847]"
6,flag_of_china_prompt1,Flags,flags,5,3,3,ok,exact,-18.978609085083008,-18.978609085083008,-18.978609085083008,0.01955016702413559,0.01955016702413559,1,[18],[-18.978609085083008]
6,flag_of_china_prompt1,Flags,flags,5,4,4,ok,exact,-13.283296585083008,-13.283296585083008,-13.283296585083008,0.01955016702413559,0.01955016702413559,1,[19],[-13.283296585083008]
6,flag_of_china_prompt1,Flags,flags,5,5,5,ok,exact,-11.416109085083008,-11.416109085083008,-11.416109085083008,0.01955016702413559,0.01955016702413559,1,[20],[-11.416109085083008]
6,flag_of_china_prompt1,Flags,flags,5,6,6,ok,exact,-17.314546585083008,-17.314546585083008,-17.314546585083008,0.01955016702413559,0.01955016702413559,1,[21],[-17.314546585083008]
6,flag_of_china_prompt1,Flags,flags,5,7,7,ok,exact,-16.689546585083008,-16.689546585083008,-16.689546585083008,0.01955016702413559,0.01955016702413559,1,[22],[-16.689546585083008]
8,flag_of_comoros_prompt1,Flags,flags,4,2,2,ok,exact,-17.338945388793945,-17.338945388793945,-17.338945388793945,0.02679852955043316,0.02679852955043316,1,[17],[-17.338945388793945]
8,flag_of_comoros_prompt1,Flags,flags,4,3,3,ok,exact,-15.065506935119629,-15.065506935119629,-15.065506935119629,0.02679852955043316,0.02679852955043316,1,[18],[-15.065506935119629]
8,flag_of_comoros_prompt1,Flags,flags,4,4,4,ok,exact,-12.042069435119629,-12.042069435119629,-12.042069435119629,0.02679852955043316,0.02679852955043316,1,[19],[-12.042069435119629]
8,flag_of_comoros_prompt1,Flags,flags,4,5,5,ok,exact,-11.776444435119629,-11.776444435119629,-11.776444435119629,0.02679852955043316,0.02679852955043316,1,[20],[-11.776444435119629]
8,flag_of_comoros_prompt1,Flags,flags,4,6,6,ok,exact,-11.784256935119629,-11.784256935119629,-11.784256935119629,0.02679852955043316,0.02679852955043316,1,[21],[-11.784256935119629]
10,flag_of_cuba_prompt1,Flags,flags,5,3,3,ok,exact,-11.657265663146973,-11.657265663146973,-11.657265663146973,0.010589138604700565,0.010589138604700565,1,[18],[-11.657265663146973]
10,flag_of_cuba_prompt1,Flags,flags,5,4,4,ok,exact,-12.305703163146973,-12.305703163146973,-12.305703163146973,0.010589138604700565,0.010589138604700565,1,[19],[-12.305703163146973]
10,flag_of_cuba_prompt1,Flags,flags,5,5,5,ok,exact,-16.461952209472656,-16.461952209472656,-16.461952209472656,0.010589138604700565,0.010589138604700565,1,[20],[-16.461952209472656]
10,flag_of_cuba_prompt1,Flags,flags,5,6,6,ok,exact,-16.618202209472656,-16.618202209472656,-16.618202209472656,0.010589138604700565,0.010589138604700565,1,[21],[-16.618202209472656]
10,flag_of_cuba_prompt1,Flags,flags,5,7,7,ok,exact,-18.547889709472656,-18.547889709472656,-18.547889709472656,0.010589138604700565,0.010589138604700565,1,[22],[-18.547889709472656]
12,flag_of_europe_prompt1,Flags,flags,12,10,10,ok,exact,-19.645627975463867,-9.822813987731934,-9.822813987731934,0.028045881539583206,0.022583129815757275,2,"[16, 15]","[-10.98754596710205, -8.658082008361816]"
12,flag_of_europe_prompt1,Flags,flags,12,11,11,ok,exact,-20.192502975463867,-10.096251487731934,-10.096251487731934,0.028045881539583206,0.022583129815757275,2,"[16, 16]","[-10.98754596710205, -9.204957008361816]"
