idx,ID,image_path,topic,sub_topic,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,run_mode,fallback_used,original_error_before_fallback,image_resize_applied,max_image_side,original_image_width,original_image_height,processed_image_width,processed_image_height,input_ids_shape,pixel_values_shape,num_image_crops,detected_digit,detected_token_text,answer_step,candidate_policy,candidate_set,valid_single_token_candidates,skipped_multitoken_candidates,gt_token_id,gt_token_variant,gt_logprob_token,proxy_bias_value,proxy_bias_token_id,proxy_bias_token_variant,proxy_bias_logprob_token,margin_token,prefers_gt_token,gt_rank_window_token,entropy_token,num_valid_single_token_candidates,num_skipped_multitoken_candidates,generated_matches_proxy,full_hallucination
0,flag_of_australia_prompt1,original_images/images/Flag of Australia.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",6,6,7,7,6,7,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,7,7,0,"GT±2, single-token only","[4, 5, 6, 7, 8]","[4, 5, 6, 7, 8]",[],21,6,-2.2492451667785645,7,22,7,-0.6711201667785645,-1.578125,False,3,1.481871247291565,5,0,True,False
2,flag_of_burundi_prompt1,original_images/images/Flag of Burundi.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",3,3,3,3,3,3,True,True,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,3,3,0,"GT±2, single-token only","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",[],18,3,-0.3443569839000702,4,19,4,-1.9381070137023926,1.5937500298023224,True,1,1.0683127641677856,5,0,False,False
6,flag_of_china_prompt1,original_images/images/Flag of China.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,6,6,5,6,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,6,6,0,"GT±2, single-token only","[3, 4, 5, 6, 7]","[3, 4, 5, 6, 7]",[],20,5,-1.4225257635116577,6,21,6,-0.7662757635116577,-0.65625,False,2,1.3659487962722778,5,0,True,False
8,flag_of_comoros_prompt1,original_images/images/Flag of Comoros.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.6442142724990845,5,20,5,-1.0348392724990845,0.390625,True,1,1.1806586980819702,5,0,False,False
10,flag_of_cuba_prompt1,original_images/images/Flag of Cuba.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,3,3,5,3,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,3,3,0,"GT±2, single-token only","[3, 4, 5, 6, 7]","[3, 4, 5, 6, 7]",[],20,5,-5.126590728759766,3,18,3,-0.20471595227718353,-4.921874776482582,False,4,0.6911175847053528,5,0,True,False
14,flag_of_greece_prompt1,original_images/images/Flag of Greece.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",9,9,4,4,9,4,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,4,4,0,"GT±2, single-token only","[7, 8, 9, 10, 11]","[7, 8, 9]","[10, 11]",24,9,-4.174818515777588,7,22,7,-3.409193515777588,-0.765625,False,2,1.5604339838027954,3,2,False,True
16,flag_of_grenada_prompt1,original_images/images/Flag of Grenada.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",7,7,8,8,7,8,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,8,8,0,"GT±2, single-token only","[5, 6, 7, 8, 9]","[5, 6, 7, 8, 9]",[],22,7,-2.1373491287231445,8,23,8,-0.8873492479324341,-1.2499998807907104,False,3,1.5487133264541626,5,0,True,False
20,flag_of_new_zealand_prompt1,original_images/images/Flag of New Zealand.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,True,True,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,4,4,0,"GT±2, single-token only","[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[],19,4,-0.7698473930358887,5,20,5,-1.6760973930358887,0.90625,True,1,1.3880200386047363,5,0,False,False
22,flag_of_singapore_prompt1,original_images/images/Flag of Singapore.png,Flags,flags,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,5,5,5,True,True,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,5,5,0,"GT±2, single-token only","[3, 4, 5, 6, 7]","[3, 4, 5, 6, 7]",[],20,5,-0.33961549401283264,4,19,4,-3.6833655834198,3.343750089406967,True,1,0.8518570065498352,5,0,False,False
24,flag_of_thailand_prompt1,original_images/images/Flag of Thailand.png,Flags,flags,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,3,3,5,3,False,False,,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,3,3,0,"GT±2, single-token only","[3, 4, 5, 6, 7]","[3, 4, 5, 6, 7]",[],20,5,-3.1549971103668213,3,18,3,-0.2799970805644989,-2.8750000298023224,False,4,0.9850739240646362,5,0,True,False
