idx,ID,image_path,topic,sub_topic,question_type,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_raw,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,run_mode,fallback_used,original_error_before_fallback,image_resize_applied,max_image_side,original_image_width,original_image_height,processed_image_width,processed_image_height,input_ids_shape,pixel_values_shape,num_image_crops,expected_bias,proxy_bias_value,proxy_bias_definition,candidate_policy,candidate_set,num_candidates_attempted,num_candidates_scored,answer_step,detected_digit,detected_token_text,gold_seq_logprob,gold_avg_logprob,gold_char_logprob,gold_entropy_step1,gold_entropy_mean,gold_n_tokens,gold_span_mode,bias_seq_logprob,bias_avg_logprob,bias_char_logprob,bias_entropy_step1,bias_entropy_mean,bias_n_tokens,bias_span_mode,seq_margin,avg_margin,char_margin,gt_rank_seq,prefers_gold,prefers_gt_seq,entropy_candidates,entropy_step1,entropy_mean,generated_matches_proxy,full_hallucination,same_length,length_matched,relative_change,gt_minus_bias,direction,gold_uncond_avg_lp,bias_uncond_avg_lp,gold_uncond_char_lp,bias_uncond_char_lp,gold_pmi,bias_pmi,pmi_margin,prefers_gold_pmi,gold_char_pmi,bias_char_pmi,char_pmi_margin,prefers_gold_char_pmi,model,model_key,source_file,gt_num_eval,pred_num_eval,proxy_num_eval,correct_numeric_eval,sequence_outcome,prefers_gt_pmi,pmi_available,pmi_agrees_with_avg,margin_strength
0,flag_of_australia_prompt1,original_images/images/Flag of Australia.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",6,6,6,7,7,6,7.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,7,7,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[4, 5, 6, 7, 8]",5,5,0.0,7.0,7.0,-4.011913299560547,-4.011913299560547,-4.011913299560547,0.7118175029754639,0.7118175029754639,1,exact,-2.340038537979126,-2.340038537979126,-2.340038537979126,0.7118175029754639,0.7118175029754639,1,exact,-1.671874761581421,-1.671874761581421,-1.671874761581421,3,False,False,1.1023775339126587,1.481871247291565,1.481871247291565,True,False,True,True,0.1428571428571428,-1.0,GT<proxy,-8.309810638427734,-8.745601654052734,-8.309810638427734,-8.745601654052734,4.297897338867188,6.405563116073608,-2.107665777206421,False,4.297897338867188,6.405563116073608,-2.107665777206421,False,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,6,7.0,7,False,proxy_confusion,0.0,True,1.0,weak proxy preference
2,flag_of_burundi_prompt1,original_images/images/Flag of Burundi.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",3,3,3,3,3,3,3.0,True,True,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,4,4,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[1, 2, 3, 4, 5]",5,5,0.0,3.0,3.0,-2.459260940551758,-2.459260940551758,-2.459260940551758,0.4455730020999908,0.4455730020999908,1,exact,-4.396760940551758,-4.396760940551758,-4.396760940551758,0.4455730020999908,0.4455730020999908,1,exact,1.9375,1.9375,1.9375,1,True,True,0.5811140537261963,1.0683127641677856,1.0683127641677856,False,False,True,True,0.25,-1.0,GT<proxy,-7.756099224090576,-7.884028911590576,-7.756099224090576,-7.884028911590576,5.296838283538818,3.4872679710388184,1.8095703125,True,5.296838283538818,3.4872679710388184,1.8095703125,True,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,3,3.0,4,True,correct,1.0,True,1.0,weak GT preference
4,flag_of_cape_verde_prompt1,original_images/images/Flag of Cape Verde.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",10,10,10,8,8,10,8.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,8,8,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[8, 9, 10, 11, 12]",5,5,0.0,8.0,8.0,-3.675418600440025,-1.8377093002200129,-1.8377093002200129,1.0679643154144287,0.8220294415950775,2,exact,-1.944912314414978,-1.944912314414978,-1.944912314414978,1.0679643154144287,1.0679643154144287,1,exact,-1.7305062860250473,0.1072030141949653,0.1072030141949653,1,True,True,1.431860327720642,1.5433928966522217,1.5433928966522217,True,False,False,False,0.25,2.0,GT>proxy,-4.563411712646484,-8.521724700927734,-4.563411712646484,-8.521724700927734,2.725702412426472,6.576812386512756,-3.8511099740862846,False,2.725702412426472,6.576812386512756,-3.8511099740862846,False,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,10,8.0,8,False,proxy_confusion,0.0,True,0.0,weak GT preference
6,flag_of_china_prompt1,original_images/images/Flag of China.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,6,6,5,6.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,6,6,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[3, 4, 5, 6, 7]",5,5,0.0,6.0,6.0,-3.3104686737060547,-3.3104686737060547,-3.3104686737060547,0.3814563751220703,0.3814563751220703,1,exact,-3.904218673706055,-3.904218673706055,-3.904218673706055,0.3814563751220703,0.3814563751220703,1,exact,0.59375,0.59375,0.59375,1,True,True,1.0534271001815796,1.3659487962722778,1.3659487962722778,True,False,True,True,0.1666666666666666,-1.0,GT<proxy,-8.374752044677734,-8.309810638427734,-8.374752044677734,-8.309810638427734,5.06428337097168,4.40559196472168,0.65869140625,True,5.06428337097168,4.40559196472168,0.65869140625,True,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,5,6.0,6,False,proxy_confusion,1.0,True,1.0,weak GT preference
8,flag_of_comoros_prompt1,original_images/images/Flag of Comoros.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,4.0,True,True,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,5,5,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,0.0,4.0,4.0,-1.1864252090454102,-1.1864252090454102,-1.1864252090454102,1.3729976415634155,1.3729976415634155,1,exact,-1.4208002090454102,-1.4208002090454102,-1.4208002090454102,1.3729976415634155,1.3729976415634155,1,exact,0.234375,0.234375,0.234375,1,True,True,0.9792461395263672,1.1806586980819702,1.1806586980819702,False,False,True,True,0.2,-1.0,GT<proxy,-7.884028911590576,-8.374752044677734,-7.884028911590576,-8.374752044677734,6.697603702545166,6.953951835632324,-0.2563481330871582,False,6.697603702545166,6.953951835632324,-0.2563481330871582,False,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,4,4.0,5,True,correct,0.0,True,0.0,weak GT preference
10,flag_of_cuba_prompt1,original_images/images/Flag of Cuba.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,3,3,5,3.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[3, 4, 5, 6, 7]",5,5,0.0,3.0,3.0,-6.789795398712158,-6.789795398712158,-6.789795398712158,0.6051174998283386,0.6051174998283386,1,exact,-2.1491706371307373,-2.1491706371307373,-2.1491706371307373,0.6051174998283386,0.6051174998283386,1,exact,-4.640624761581421,-4.640624761581421,-4.640624761581421,4,False,False,0.2572308182716369,0.6911175847053528,0.6911175847053528,True,False,True,True,0.6666666666666666,2.0,GT>proxy,-8.374752044677734,-7.756099224090576,-8.374752044677734,-7.756099224090576,1.5849566459655762,5.606928586959839,-4.021971940994263,False,1.5849566459655762,5.606928586959839,-4.021971940994263,False,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,5,3.0,3,False,proxy_confusion,0.0,True,1.0,strong proxy preference
12,flag_of_europe_prompt1,original_images/images/Flag of Europe.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",12,12,12,12,12,12,12.0,True,True,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,13,13,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[10, 11, 12, 13, 14]",5,5,0.0,1.0,1.0,-3.487891308963299,-1.7439456544816494,-1.7439456544816494,0.1640874445438385,0.1290422677993774,2,exact,-7.70664119720459,-3.853320598602295,-3.853320598602295,0.1640874445438385,0.1290422677993774,2,exact,4.218749888241291,2.109374944120645,2.109374944120645,1,True,True,0.6008601784706116,0.5116570591926575,0.5116570591926575,False,True,True,True,0.0769230769230769,-1.0,GT<proxy,-4.778255462646484,-5.235286712646484,-4.778255462646484,-5.235286712646484,3.034309808164835,1.3819661140441897,1.6523436941206455,True,3.034309808164835,1.3819661140441897,1.6523436941206455,True,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,12,12.0,13,True,correct,1.0,True,1.0,strong GT preference
14,flag_of_greece_prompt1,original_images/images/Flag of Greece.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",9,9,9,4,4,9,4.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,10,10,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[7, 8, 9, 10, 11]",5,5,0.0,4.0,4.0,-5.377621173858643,-5.377621173858643,-5.377621173858643,1.167359471321106,1.167359471321106,1,exact,-7.48495090007782,-3.74247545003891,-3.74247545003891,1.167359471321106,1.5616994500160215,2,exact,2.107329726219177,-1.6351457238197329,-1.6351457238197329,5,False,False,1.4541518688201904,1.5604339838027954,1.5604339838027954,False,True,False,False,0.1,-1.0,GT<proxy,-8.516353607177734,-4.563411712646484,-8.516353607177734,-4.563411712646484,3.138732433319092,0.8209362626075745,2.3177961707115173,True,3.138732433319092,0.8209362626075745,2.3177961707115173,True,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,9,4.0,10,False,other_numeric_error,1.0,True,0.0,weak proxy preference
16,flag_of_grenada_prompt1,original_images/images/Flag of Grenada.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",7,7,7,8,8,7,8.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,8,8,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[5, 6, 7, 8, 9]",5,5,0.0,8.0,8.0,-4.560916423797607,-4.560916423797607,-4.560916423797607,0.4775185883045196,0.4775185883045196,1,exact,-2.8109164237976074,-2.8109164237976074,-2.8109164237976074,0.4775185883045196,0.4775185883045196,1,exact,-1.75,-1.75,-1.75,3,False,False,0.9569021463394164,1.5487133264541626,1.5487133264541626,True,False,True,True,0.125,-1.0,GT<proxy,-8.745601654052734,-8.521724700927734,-8.745601654052734,-8.521724700927734,4.184685230255127,5.710808277130127,-1.526123046875,False,4.184685230255127,5.710808277130127,-1.526123046875,False,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,7,8.0,8,False,proxy_confusion,0.0,True,1.0,weak proxy preference
18,flag_of_malaysia_prompt1,original_images/images/Flag of Malaysia.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",14,14,14,9,9,14,9.0,False,False,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,13,13,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[12, 13, 14, 15, 16]",5,5,0.0,9.0,9.0,-5.676626086235046,-2.838313043117523,-2.838313043117523,0.7938283085823059,1.3218779265880585,2,exact,-5.379751086235046,-2.689875543117523,-2.689875543117523,0.7938283085823059,1.3218779265880585,2,exact,-0.296875,-0.1484375,-0.1484375,2,False,False,1.4969851970672607,1.4958266019821167,1.4958266019821167,False,True,True,True,0.0769230769230769,1.0,GT>proxy,-5.016536712646484,-5.235286712646484,-5.016536712646484,-5.235286712646484,2.178223669528961,2.545411169528961,-0.3671875,False,2.178223669528961,2.545411169528961,-0.3671875,False,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,14,9.0,13,False,other_numeric_error,0.0,True,1.0,weak proxy preference
20,flag_of_new_zealand_prompt1,original_images/images/Flag of New Zealand.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,4,4,4,4.0,True,True,,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,5,5,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,0.0,4.0,4.0,-3.406939744949341,-3.406939744949341,-3.406939744949341,0.2451214343309402,0.2451214343309402,1,exact,-4.860064506530762,-4.860064506530762,-4.860064506530762,0.2451214343309402,0.2451214343309402,1,exact,1.453124761581421,1.453124761581421,1.453124761581421,1,True,True,0.6691133975982666,1.3880200386047363,1.3880200386047363,False,False,True,True,0.2,-1.0,GT<proxy,-7.884028911590576,-8.374752044677734,-7.884028911590576,-8.374752044677734,4.477089166641235,3.5146875381469727,0.9624016284942628,True,4.477089166641235,3.5146875381469727,0.9624016284942628,True,LLaVA-OV-7B,llava,llava_original_sequence_results_with_pmi.csv,4,4.0,5,True,correct,1.0,True,1.0,weak GT preference
