idx,ID,image_path,topic,sub_topic,question_type,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_raw,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,expected_bias,proxy_bias_value,proxy_bias_definition,candidate_policy,candidate_set,num_candidates_attempted,num_candidates_scored,answer_step,detected_digit,detected_token_text,gold_seq_logprob,gold_avg_logprob,gold_char_logprob,gold_entropy_step1,gold_entropy_mean,gold_n_tokens,gold_span_mode,bias_seq_logprob,bias_avg_logprob,bias_char_logprob,bias_entropy_step1,bias_entropy_mean,bias_n_tokens,bias_span_mode,seq_margin,avg_margin,char_margin,gt_rank_seq,prefers_gold,prefers_gt_seq,entropy_candidates,entropy_step1,entropy_mean,generated_matches_proxy,full_hallucination,same_length,length_matched,relative_change,gt_minus_bias,direction,gold_uncond_avg_lp,bias_uncond_avg_lp,gold_uncond_char_lp,bias_uncond_char_lp,gold_pmi,bias_pmi,pmi_margin,prefers_gold_pmi,gold_char_pmi,bias_char_pmi,char_pmi_margin,prefers_gold_char_pmi
0,flag_of_australia_prompt1,original_images/images/Flag of Australia.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",6,6,6,{4},4,6,4.0,False,False,,5,5,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[4, 5, 6, 7, 8]",5,5,1.0,4.0,4,-9.58061981201172,-9.58061981201172,-9.58061981201172,0.021994324401021,0.021994324401021,1,exact,-8.361869812011719,-8.361869812011719,-8.361869812011719,0.021994324401021,0.021994324401021,1,exact,-1.21875,-1.21875,-1.21875,3,False,False,1.2338002920150757,1.2661372423171997,0.6441064048558474,False,True,True,True,0.2,1.0,GT>proxy,-8.022595405578613,-7.4210333824157715,-8.022595405578613,-7.4210333824157715,-1.5580244064331072,-0.9408364295959473,-0.61718797683716,False,-1.5580244064331072,-0.9408364295959473,-0.61718797683716,False
2,flag_of_burundi_prompt1,original_images/images/Flag of Burundi.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",3,3,3,{3},3,3,3.0,True,True,,1,1,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[1, 2, 3, 4, 5]",5,5,1.0,3.0,3,-8.378883361816406,-8.378883361816406,-8.378883361816406,0.0305297598242759,0.0305297598242759,1,exact,-10.910133361816406,-10.910133361816406,-10.910133361816406,0.0305297598242759,0.0305297598242759,1,exact,2.53125,2.53125,2.53125,1,True,True,0.5784780383110046,0.2894860208034515,0.1599607421085238,False,False,True,True,2.0,2.0,GT>proxy,-7.7022833824157715,-5.7569708824157715,-7.7022833824157715,-5.7569708824157715,-0.6765999794006348,-5.153162479400635,4.4765625,True,-0.6765999794006348,-5.153162479400635,4.4765625,True
4,flag_of_cape_verde_prompt1,original_images/images/Flag of Cape Verde.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",10,10,10,{7},7,10,7.0,False,False,,12,12,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[8, 9, 10, 11, 12]",5,5,1.0,7.0,7,-10.94648115336895,-5.473240576684475,-5.473240576684475,0.0224890187382698,0.3820664323866367,2,exact,-13.243356227874756,-6.621678113937378,-6.621678113937378,0.0224890187382698,0.3820664323866367,2,exact,2.296875074505806,1.148437537252903,1.148437537252903,1,True,True,1.0476019382476809,1.5066577196121216,0.764244806021452,False,True,True,True,0.1666666666666666,-2.0,GT<proxy,-3.9695411920547485,-4.1648536920547485,-3.9695411920547485,-4.1648536920547485,-1.5036993846297264,-2.4568244218826294,0.953125037252903,True,-1.5036993846297264,-2.4568244218826294,0.953125037252903,True
6,flag_of_china_prompt1,original_images/images/Flag of China.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,{5},5,5,5.0,True,True,,6,6,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[3, 4, 5, 6, 7]",5,5,1.0,5.0,5,-8.31435489654541,-8.31435489654541,-8.31435489654541,0.0177530571818351,0.0177530571818351,1,exact,-10.17372989654541,-10.17372989654541,-10.17372989654541,0.0177530571818351,0.0177530571818351,1,exact,1.859375,1.859375,1.859375,1,True,True,0.7697115540504456,0.3457679152488708,0.1817108951508999,False,False,True,True,0.1666666666666666,-1.0,GT<proxy,-7.4210333824157715,-8.022595405578613,-7.4210333824157715,-8.022595405578613,-0.8933215141296387,-2.151134490966797,1.2578129768371582,True,-0.8933215141296387,-2.151134490966797,1.2578129768371582,True
8,flag_of_comoros_prompt1,original_images/images/Flag of Comoros.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,{4},4,4,4.0,True,True,,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,1.0,4.0,4,-8.426337242126465,-8.426337242126465,-8.426337242126465,0.0350740626454353,0.0350740626454353,1,exact,-8.973212242126465,-8.973212242126465,-8.973212242126465,0.0350740626454353,0.0350740626454353,1,exact,0.546875,0.546875,0.546875,1,True,True,1.3369139432907104,1.326396942138672,0.6805919725447893,False,False,True,True,0.3333333333333333,1.0,GT>proxy,-7.2960333824157715,-7.7022833824157715,-7.2960333824157715,-7.7022833824157715,-1.1303038597106934,-1.2709288597106934,0.140625,True,-1.1303038597106934,-1.2709288597106934,0.140625,True
10,flag_of_cuba_prompt1,original_images/images/Flag of Cuba.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,{3},3,5,3.0,False,False,,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[3, 4, 5, 6, 7]",5,5,1.0,3.0,3,-10.018996238708496,-10.018996238708496,-10.018996238708496,0.0283160619437694,0.0283160619437694,1,exact,-7.034621238708496,-7.034621238708496,-7.034621238708496,0.0283160619437694,0.0283160619437694,1,exact,-2.984375,-2.984375,-2.984375,3,False,False,0.6719401478767395,0.6551722288131714,0.3416636800393462,True,False,True,True,0.6666666666666666,2.0,GT>proxy,-7.4210333824157715,-7.7022833824157715,-7.4210333824157715,-7.7022833824157715,-2.5979628562927246,0.6676621437072754,-3.265625,False,-2.5979628562927246,0.6676621437072754,-3.265625,False
12,flag_of_europe_prompt1,original_images/images/Flag of Europe.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",12,12,12,{12,{12,12,12.0,False,True,,10,10,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[10, 11, 12, 13, 14]",5,5,1.0,1.0,1,-7.12075075507164,-3.56037537753582,-3.56037537753582,0.0373798534274101,0.0775375291705131,2,exact,-11.011375665664673,-5.505687832832336,-5.505687832832336,0.0373798534274101,0.0775375291705131,2,exact,3.890624910593033,1.9453124552965164,1.9453124552965164,1,True,True,0.5814365744590759,0.0054226443171501,0.0209860708564519,False,True,True,True,0.2,2.0,GT>proxy,-4.1648536920547485,-3.9695411920547485,-4.1648536920547485,-3.9695411920547485,0.6044783145189285,-1.536146640777588,2.1406249552965164,True,0.6044783145189285,-1.536146640777588,2.1406249552965164,True
14,flag_of_greece_prompt1,original_images/images/Flag of Greece.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",9,9,9,{12,{12,9,12.0,False,False,,10,10,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[7, 8, 9, 10, 11]",5,5,1.0,1.0,1,-7.973782062530518,-7.973782062530518,-7.973782062530518,0.0429201945662498,0.0429201945662498,1,exact,-8.872254610061646,-4.436127305030823,-4.436127305030823,0.0421755276620388,0.6834269743412733,2,exact,0.8984725475311279,-3.537654757499695,-3.537654757499695,5,False,False,0.8526464104652405,1.6723971366882324,0.856068130582571,False,True,False,False,0.1,-1.0,GT<proxy,-8.077282905578613,-3.9695411920547485,-8.077282905578613,-3.9695411920547485,0.1035008430480957,-0.4665861129760742,0.5700869560241699,True,0.1035008430480957,-0.4665861129760742,0.5700869560241699,True
16,flag_of_grenada_prompt1,original_images/images/Flag of Grenada.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",7,7,7,{8},8,7,8.0,False,False,,8,8,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[5, 6, 7, 8, 9]",5,5,1.0,8.0,8,-9.159332275390623,-9.159332275390623,-9.159332275390623,0.0258873365819454,0.0258873365819454,1,exact,-8.581207275390625,-8.581207275390625,-8.581207275390625,0.0258873365819454,0.0258873365819454,1,exact,-0.578125,-0.578125,-0.578125,2,False,False,1.452493667602539,1.600473403930664,0.8126440597698092,True,False,True,True,0.125,-1.0,GT<proxy,-8.046032905578613,-8.069470405578613,-8.046032905578613,-8.069470405578613,-1.11329936981201,-0.5117368698120117,-0.6015624999999982,False,-1.11329936981201,-0.5117368698120117,-0.6015624999999982,False
18,flag_of_malaysia_prompt1,original_images/images/Flag of Malaysia.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",14,14,14,{14,{14,14,14.0,False,True,,12,12,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[12, 13, 14, 15, 16]",5,5,1.0,1.0,1,-8.473401069641113,-4.236700534820557,-4.236700534820557,0.062205359339714,0.7936409339308739,2,exact,-10.332776069641112,-5.166388034820557,-5.166388034820557,0.062205359339714,0.7936409339308739,2,exact,1.859375,0.9296875,0.9296875,1,True,True,1.4393621683120728,0.9565001130104064,0.5059363320469856,False,True,True,True,0.1666666666666666,2.0,GT>proxy,-4.4382911920547485,-4.1648536920547485,-4.4382911920547485,-4.1648536920547485,0.2015906572341919,-1.001534342765808,1.203125,True,0.2015906572341919,-1.001534342765808,1.203125,True
