idx,ID,topic,sub_topic,ground_truth_num,candidate,candidate_str,status,span_mode,seq_logprob,avg_logprob,char_logprob,n_tokens,entropy_step1,entropy_mean,candidate_token_ids,token_logprobs
0,flag_of_australia_prompt1,Flags,flags,6,4,4,ok,exact,-8.674369812011719,-8.674369812011719,-8.674369812011719,1,0.021994324401021,0.021994324401021,[19],[-8.674369812011719]
0,flag_of_australia_prompt1,Flags,flags,6,5,5,ok,exact,-8.361869812011719,-8.361869812011719,-8.361869812011719,1,0.021994324401021,0.021994324401021,[20],[-8.361869812011719]
0,flag_of_australia_prompt1,Flags,flags,6,6,6,ok,exact,-9.58061981201172,-9.58061981201172,-9.58061981201172,1,0.021994324401021,0.021994324401021,[21],[-9.580619812011719]
0,flag_of_australia_prompt1,Flags,flags,6,7,7,ok,exact,-10.58061981201172,-10.58061981201172,-10.58061981201172,1,0.021994324401021,0.021994324401021,[22],[-10.580619812011719]
0,flag_of_australia_prompt1,Flags,flags,6,8,8,ok,exact,-11.29936981201172,-11.29936981201172,-11.29936981201172,1,0.021994324401021,0.021994324401021,[23],[-11.299369812011719]
2,flag_of_burundi_prompt1,Flags,flags,3,1,1,ok,exact,-10.910133361816406,-10.910133361816406,-10.910133361816406,1,0.0305297598242759,0.0305297598242759,[16],[-10.910133361816406]
2,flag_of_burundi_prompt1,Flags,flags,3,2,2,ok,exact,-11.925758361816406,-11.925758361816406,-11.925758361816406,1,0.0305297598242759,0.0305297598242759,[17],[-11.925758361816406]
2,flag_of_burundi_prompt1,Flags,flags,3,3,3,ok,exact,-8.378883361816406,-8.378883361816406,-8.378883361816406,1,0.0305297598242759,0.0305297598242759,[18],[-8.378883361816406]
2,flag_of_burundi_prompt1,Flags,flags,3,4,4,ok,exact,-11.566383361816406,-11.566383361816406,-11.566383361816406,1,0.0305297598242759,0.0305297598242759,[19],[-11.566383361816406]
2,flag_of_burundi_prompt1,Flags,flags,3,5,5,ok,exact,-12.613258361816406,-12.613258361816406,-12.613258361816406,1,0.0305297598242759,0.0305297598242759,[20],[-12.613258361816406]
4,flag_of_cape_verde_prompt1,Flags,flags,10,8,8,ok,exact,-8.565218925476074,-8.565218925476074,-8.565218925476074,1,0.0226577259600162,0.0226577259600162,[23],[-8.565218925476074]
4,flag_of_cape_verde_prompt1,Flags,flags,10,9,9,ok,exact,-9.752718925476074,-9.752718925476074,-9.752718925476074,1,0.0226577259600162,0.0226577259600162,[24],[-9.752718925476074]
4,flag_of_cape_verde_prompt1,Flags,flags,10,10,10,ok,exact,-10.94648115336895,-5.473240576684475,-5.473240576684475,2,0.0224890187382698,0.3820664323866367,"[16, 15]","[-10.752691268920898, -0.19378988444805145]"
4,flag_of_cape_verde_prompt1,Flags,flags,10,11,11,ok,exact,-13.696481227874756,-6.848240613937378,-6.848240613937378,2,0.0224890187382698,0.3820664323866367,"[16, 16]","[-10.752691268920898, -2.9437899589538574]"
4,flag_of_cape_verde_prompt1,Flags,flags,10,12,12,ok,exact,-13.243356227874756,-6.621678113937378,-6.621678113937378,2,0.0224890187382698,0.3820664323866367,"[16, 17]","[-10.752691268920898, -2.4906649589538574]"
6,flag_of_china_prompt1,Flags,flags,5,3,3,ok,exact,-13.37685489654541,-13.37685489654541,-13.37685489654541,1,0.0177530571818351,0.0177530571818351,[18],[-13.37685489654541]
6,flag_of_china_prompt1,Flags,flags,5,4,4,ok,exact,-10.28310489654541,-10.28310489654541,-10.28310489654541,1,0.0177530571818351,0.0177530571818351,[19],[-10.28310489654541]
6,flag_of_china_prompt1,Flags,flags,5,5,5,ok,exact,-8.31435489654541,-8.31435489654541,-8.31435489654541,1,0.0177530571818351,0.0177530571818351,[20],[-8.31435489654541]
6,flag_of_china_prompt1,Flags,flags,5,6,6,ok,exact,-10.17372989654541,-10.17372989654541,-10.17372989654541,1,0.0177530571818351,0.0177530571818351,[21],[-10.17372989654541]
6,flag_of_china_prompt1,Flags,flags,5,7,7,ok,exact,-12.67372989654541,-12.67372989654541,-12.67372989654541,1,0.0177530571818351,0.0177530571818351,[22],[-12.67372989654541]
8,flag_of_comoros_prompt1,Flags,flags,4,2,2,ok,exact,-10.488837242126465,-10.488837242126465,-10.488837242126465,1,0.0350740626454353,0.0350740626454353,[17],[-10.488837242126465]
8,flag_of_comoros_prompt1,Flags,flags,4,3,3,ok,exact,-8.973212242126465,-8.973212242126465,-8.973212242126465,1,0.0350740626454353,0.0350740626454353,[18],[-8.973212242126465]
8,flag_of_comoros_prompt1,Flags,flags,4,4,4,ok,exact,-8.426337242126465,-8.426337242126465,-8.426337242126465,1,0.0350740626454353,0.0350740626454353,[19],[-8.426337242126465]
8,flag_of_comoros_prompt1,Flags,flags,4,5,5,ok,exact,-9.645087242126465,-9.645087242126465,-9.645087242126465,1,0.0350740626454353,0.0350740626454353,[20],[-9.645087242126465]
8,flag_of_comoros_prompt1,Flags,flags,4,6,6,ok,exact,-10.301337242126465,-10.301337242126465,-10.301337242126465,1,0.0350740626454353,0.0350740626454353,[21],[-10.301337242126465]
10,flag_of_cuba_prompt1,Flags,flags,5,3,3,ok,exact,-7.034621238708496,-7.034621238708496,-7.034621238708496,1,0.0283160619437694,0.0283160619437694,[18],[-7.034621238708496]
10,flag_of_cuba_prompt1,Flags,flags,5,4,4,ok,exact,-8.503371238708496,-8.503371238708496,-8.503371238708496,1,0.0283160619437694,0.0283160619437694,[19],[-8.503371238708496]
10,flag_of_cuba_prompt1,Flags,flags,5,5,5,ok,exact,-10.018996238708496,-10.018996238708496,-10.018996238708496,1,0.0283160619437694,0.0283160619437694,[20],[-10.018996238708496]
10,flag_of_cuba_prompt1,Flags,flags,5,6,6,ok,exact,-12.018996238708496,-12.018996238708496,-12.018996238708496,1,0.0283160619437694,0.0283160619437694,[21],[-12.018996238708496]
10,flag_of_cuba_prompt1,Flags,flags,5,7,7,ok,exact,-13.018996238708496,-13.018996238708496,-13.018996238708496,1,0.0283160619437694,0.0283160619437694,[22],[-13.018996238708496]
12,flag_of_europe_prompt1,Flags,flags,12,10,10,ok,exact,-11.011375665664673,-5.505687832832336,-5.505687832832336,2,0.0373798534274101,0.0775375291705131,"[16, 15]","[-7.098472595214844, -3.912903070449829]"
12,flag_of_europe_prompt1,Flags,flags,12,11,11,ok,exact,-16.542625427246094,-8.271312713623047,-8.271312713623047,2,0.0373798534274101,0.0775375291705131,"[16, 16]","[-7.098472595214844, -9.44415283203125]"
12,flag_of_europe_prompt1,Flags,flags,12,12,12,ok,exact,-7.12075075507164,-3.56037537753582,-3.56037537753582,2,0.0373798534274101,0.0775375291705131,"[16, 17]","[-7.098472595214844, -0.022278159856796265]"
12,flag_of_europe_prompt1,Flags,flags,12,13,13,ok,exact,-14.323875904083252,-7.161937952041626,-7.161937952041626,2,0.0373798534274101,0.0775375291705131,"[16, 18]","[-7.098472595214844, -7.225403308868408]"
12,flag_of_europe_prompt1,Flags,flags,12,14,14,ok,exact,-15.495750427246094,-7.747875213623047,-7.747875213623047,2,0.0373798534274101,0.0775375291705131,"[16, 19]","[-7.098472595214844, -8.39727783203125]"
14,flag_of_greece_prompt1,Flags,flags,9,7,7,ok,exact,-7.708157062530518,-7.708157062530518,-7.708157062530518,1,0.0429201945662498,0.0429201945662498,[22],[-7.708157062530518]
14,flag_of_greece_prompt1,Flags,flags,9,8,8,ok,exact,-7.270657062530518,-7.270657062530518,-7.270657062530518,1,0.0429201945662498,0.0429201945662498,[23],[-7.270657062530518]
14,flag_of_greece_prompt1,Flags,flags,9,9,9,ok,exact,-7.973782062530518,-7.973782062530518,-7.973782062530518,1,0.0429201945662498,0.0429201945662498,[24],[-7.973782062530518]
14,flag_of_greece_prompt1,Flags,flags,9,10,10,ok,exact,-8.872254610061646,-4.436127305030823,-4.436127305030823,2,0.0421755276620388,0.6834269743412733,"[16, 15]","[-8.270553588867188, -0.601701021194458]"
14,flag_of_greece_prompt1,Flags,flags,9,11,11,ok,exact,-11.700379610061646,-5.850189805030823,-5.850189805030823,2,0.0421755276620388,0.6834269743412733,"[16, 16]","[-8.270553588867188, -3.429826021194458]"
16,flag_of_grenada_prompt1,Flags,flags,7,5,5,ok,exact,-10.581207275390623,-10.581207275390623,-10.581207275390623,1,0.0258873365819454,0.0258873365819454,[20],[-10.581207275390625]
16,flag_of_grenada_prompt1,Flags,flags,7,6,6,ok,exact,-9.581207275390623,-9.581207275390623,-9.581207275390623,1,0.0258873365819454,0.0258873365819454,[21],[-9.581207275390625]
16,flag_of_grenada_prompt1,Flags,flags,7,7,7,ok,exact,-9.159332275390623,-9.159332275390623,-9.159332275390623,1,0.0258873365819454,0.0258873365819454,[22],[-9.159332275390625]
16,flag_of_grenada_prompt1,Flags,flags,7,8,8,ok,exact,-8.581207275390625,-8.581207275390625,-8.581207275390625,1,0.0258873365819454,0.0258873365819454,[23],[-8.581207275390625]
16,flag_of_grenada_prompt1,Flags,flags,7,9,9,ok,exact,-9.268707275390623,-9.268707275390623,-9.268707275390623,1,0.0258873365819454,0.0258873365819454,[24],[-9.268707275390625]
18,flag_of_malaysia_prompt1,Flags,flags,14,12,12,ok,exact,-10.332776069641112,-5.166388034820557,-5.166388034820557,2,0.062205359339714,0.7936409339308739,"[16, 17]","[-7.819880485534668, -2.5128955841064453]"
18,flag_of_malaysia_prompt1,Flags,flags,14,13,13,ok,exact,-10.942151069641112,-5.471075534820557,-5.471075534820557,2,0.062205359339714,0.7936409339308739,"[16, 18]","[-7.819880485534668, -3.1222705841064453]"
18,flag_of_malaysia_prompt1,Flags,flags,14,14,14,ok,exact,-8.473401069641113,-4.236700534820557,-4.236700534820557,2,0.062205359339714,0.7936409339308739,"[16, 19]","[-7.819880485534668, -0.6535205841064453]"
18,flag_of_malaysia_prompt1,Flags,flags,14,15,15,ok,exact,-10.645276069641112,-5.322638034820557,-5.322638034820557,2,0.062205359339714,0.7936409339308739,"[16, 20]","[-7.819880485534668, -2.8253955841064453]"
18,flag_of_malaysia_prompt1,Flags,flags,14,16,16,ok,exact,-11.598401069641112,-5.799200534820557,-5.799200534820557,2,0.062205359339714,0.7936409339308739,"[16, 21]","[-7.819880485534668, -3.7785205841064453]"
20,flag_of_new_zealand_prompt1,Flags,flags,4,2,2,ok,exact,-11.79830265045166,-11.79830265045166,-11.79830265045166,1,0.0136865796521306,0.0136865796521306,[17],[-11.79830265045166]
20,flag_of_new_zealand_prompt1,Flags,flags,4,3,3,ok,exact,-10.25142765045166,-10.25142765045166,-10.25142765045166,1,0.0136865796521306,0.0136865796521306,[18],[-10.25142765045166]
20,flag_of_new_zealand_prompt1,Flags,flags,4,4,4,ok,exact,-8.47017765045166,-8.47017765045166,-8.47017765045166,1,0.0136865796521306,0.0136865796521306,[19],[-8.47017765045166]
20,flag_of_new_zealand_prompt1,Flags,flags,4,5,5,ok,exact,-10.89205265045166,-10.89205265045166,-10.89205265045166,1,0.0136865796521306,0.0136865796521306,[20],[-10.89205265045166]
20,flag_of_new_zealand_prompt1,Flags,flags,4,6,6,ok,exact,-12.28267765045166,-12.28267765045166,-12.28267765045166,1,0.0136865796521306,0.0136865796521306,[21],[-12.28267765045166]
22,flag_of_singapore_prompt1,Flags,flags,5,3,3,ok,exact,-12.705459594726562,-12.705459594726562,-12.705459594726562,1,0.0213807336986064,0.0213807336986064,[18],[-12.705459594726562]
22,flag_of_singapore_prompt1,Flags,flags,5,4,4,ok,exact,-11.330459594726562,-11.330459594726562,-11.330459594726562,1,0.0213807336986064,0.0213807336986064,[19],[-11.330459594726562]
