idx,ID,image_path,topic,sub_topic,question_type,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_raw,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error,expected_bias,proxy_bias_value,proxy_bias_definition,candidate_policy,candidate_set,num_candidates_attempted,num_candidates_scored,answer_step,detected_digit,detected_token_text,gold_seq_logprob,gold_avg_logprob,gold_char_logprob,gold_entropy_step1,gold_entropy_mean,gold_n_tokens,gold_span_mode,bias_seq_logprob,bias_avg_logprob,bias_char_logprob,bias_entropy_step1,bias_entropy_mean,bias_n_tokens,bias_span_mode,seq_margin,avg_margin,char_margin,gt_rank_seq,prefers_gold,prefers_gt_seq,entropy_candidates,entropy_step1,entropy_mean,generated_matches_proxy,full_hallucination,same_length,length_matched,relative_change,gt_minus_bias,direction,gold_uncond_avg_lp,bias_uncond_avg_lp,gold_uncond_char_lp,bias_uncond_char_lp,gold_pmi,bias_pmi,pmi_margin,prefers_gold_pmi,gold_char_pmi,bias_char_pmi,char_pmi_margin,prefers_gold_char_pmi
0,flag_of_australia_prompt1,original_images/images/Flag of Australia.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",6,6,6,{5},5,6,5,False,False,,7,7,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[4, 5, 6, 7, 8]",5,5,1,5,5,-14.097468376159668,-14.097468376159668,-14.097468376159668,0.030894815921783447,0.030894815921783447,1,exact,-12.159968376159668,-12.159968376159668,-12.159968376159668,0.030894815921783447,0.030894815921783447,1,exact,-1.9375,-1.9375,-1.9375,3,False,False,0.938904881477356,0.4694157838821411,0.23873403668403625,False,True,True,True,0.14285714285714285,-1.0,GT<proxy,-8.889962196350098,-9.025704383850098,-8.889962196350098,-9.025704383850098,-5.20750617980957,-3.1342639923095703,-2.0732421875,False,-5.20750617980957,-3.1342639923095703,-2.0732421875,False
2,flag_of_burundi_prompt1,original_images/images/Flag of Burundi.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",3,3,3,{4},4,3,4,False,False,,4,4,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[1, 2, 3, 4, 5]",5,5,1,4,4,-12.47127914428711,-12.47127914428711,-12.47127914428711,0.02193514257669449,0.02193514257669449,1,exact,-11.15877914428711,-11.15877914428711,-11.15877914428711,0.02193514257669449,0.02193514257669449,1,exact,-1.3125,-1.3125,-1.3125,2,False,False,0.6995550394058228,0.667137086391449,0.33573411987163126,True,False,True,True,0.25,-1.0,GT<proxy,-8.489571571350098,-8.598946571350098,-8.489571571350098,-8.598946571350098,-3.9817075729370117,-2.5598325729370117,-1.421875,False,-3.9817075729370117,-2.5598325729370117,-1.421875,False
4,flag_of_cape_verde_prompt1,original_images/images/Flag of Cape Verde.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",10,10,10,{8},8,10,8,False,False,,12,12,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[8, 9, 10, 11, 12]",5,5,1,8,8,-15.816484332084656,-7.908242166042328,-7.908242166042328,0.014619284309446812,0.471146818716079,2,exact,-17.066484332084656,-8.533242166042328,-8.533242166042328,0.014619284309446812,0.471146818716079,2,exact,1.25,0.625,0.625,1,True,True,0.9723553657531738,0.8948711156845093,0.4527610461227596,False,True,True,True,0.16666666666666666,-2.0,GT<proxy,-4.646657347679138,-4.765797972679138,-4.646657347679138,-4.765797972679138,-3.2615848183631897,-3.7674441933631897,0.505859375,True,-3.2615848183631897,-3.7674441933631897,0.505859375,True
6,flag_of_china_prompt1,original_images/images/Flag of China.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,{5},5,5,5,True,True,,4,4,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[3, 4, 5, 6, 7]",5,5,1,5,5,-11.416109085083008,-11.416109085083008,-11.416109085083008,0.01955016702413559,0.01955016702413559,1,exact,-13.283296585083008,-13.283296585083008,-13.283296585083008,0.01955016702413559,0.01955016702413559,1,exact,1.8671875,1.8671875,1.8671875,1,True,True,0.43964865803718567,0.27621108293533325,0.13929139671381563,False,False,True,True,0.25,1.0,GT>proxy,-8.611641883850098,-8.598946571350098,-8.611641883850098,-8.598946571350098,-2.80446720123291,-4.68435001373291,1.8798828125,True,-2.80446720123291,-4.68435001373291,1.8798828125,True
8,flag_of_comoros_prompt1,original_images/images/Flag of Comoros.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",4,4,4,{5},5,4,5,False,False,,5,5,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[2, 3, 4, 5, 6]",5,5,1,5,5,-12.042069435119629,-12.042069435119629,-12.042069435119629,0.02679852955043316,0.02679852955043316,1,exact,-11.776444435119629,-11.776444435119629,-11.776444435119629,0.02679852955043316,0.02679852955043316,1,exact,-0.265625,-0.265625,-0.265625,3,False,False,1.1565755605697632,0.971443772315979,0.48972379928454757,True,False,True,True,0.2,-1.0,GT<proxy,-8.598946571350098,-8.611641883850098,-8.598946571350098,-8.611641883850098,-3.4431228637695312,-3.1648025512695312,-0.2783203125,False,-3.4431228637695312,-3.1648025512695312,-0.2783203125,False
10,flag_of_cuba_prompt1,original_images/images/Flag of Cuba.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",5,5,5,{3},3,5,3,False,False,,3,3,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[3, 4, 5, 6, 7]",5,5,1,3,3,-16.461952209472656,-16.461952209472656,-16.461952209472656,0.010589138604700565,0.010589138604700565,1,exact,-11.657265663146973,-11.657265663146973,-11.657265663146973,0.010589138604700565,0.010589138604700565,1,exact,-4.804686546325684,-4.804686546325684,-4.804686546325684,3,False,False,0.7041826844215393,0.9399604201316833,0.47163737809751183,True,False,True,True,0.6666666666666666,2.0,GT>proxy,-8.611641883850098,-8.489571571350098,-8.611641883850098,-8.489571571350098,-7.850310325622559,-3.167694091796875,-4.682616233825684,False,-7.850310325622559,-3.167694091796875,-4.682616233825684,False
12,flag_of_europe_prompt1,original_images/images/Flag of Europe.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",12,12,12,{12,{12,12,12,False,True,,13,13,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[10, 11, 12, 13, 14]",5,5,1,1,1,-10.989377965219319,-5.494688982609659,-5.494688982609659,0.028045881539583206,0.022583129815757275,2,exact,-19.489377975463867,-9.744688987731934,-9.744688987731934,0.028045881539583206,0.022583129815757275,2,exact,8.500000010244548,4.250000005122274,4.250000005122274,1,True,True,0.21468733251094818,0.05195685476064682,0.03848963789641857,False,True,True,True,0.07692307692307693,-1.0,GT<proxy,-4.765797972679138,-5.105641722679138,-4.765797972679138,-5.105641722679138,-0.7288910099305212,-4.639047265052795,3.910156255122274,True,-0.7288910099305212,-4.639047265052795,3.910156255122274,True
14,flag_of_greece_prompt1,original_images/images/Flag of Greece.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",9,9,9,{9},9,9,9,True,True,,10,10,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[7, 8, 9, 10, 11]",5,5,1,9,9,-14.494878768920898,-14.494878768920898,-14.494878768920898,0.025186536833643913,0.025186536833643913,1,exact,-16.34093475341797,-8.170467376708984,-8.170467376708984,0.025186536833643913,0.6740587344393134,2,exact,1.8460559844970703,-6.324411392211914,-6.324411392211914,4,False,False,0.6685158014297485,1.425464153289795,0.7158255570102483,False,False,False,False,0.1,-1.0,GT<proxy,-9.283516883850098,-4.646657347679138,-9.283516883850098,-4.646657347679138,-5.211361885070801,-3.523810029029846,-1.6875518560409546,False,-5.211361885070801,-3.523810029029846,-1.6875518560409546,False
16,flag_of_grenada_prompt1,original_images/images/Flag of Grenada.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stars are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",7,7,7,{8},8,7,8,False,False,,8,8,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[5, 6, 7, 8, 9]",5,5,1,8,8,-12.299090385437012,-12.299090385437012,-12.299090385437012,0.019214030355215073,0.019214030355215073,1,exact,-13.306902885437012,-13.306902885437012,-13.306902885437012,0.019214030355215073,0.019214030355215073,1,exact,1.0078125,1.0078125,1.0078125,1,True,True,0.9365630149841309,1.0109038352966309,0.5099453590810299,True,False,True,True,0.125,-1.0,GT<proxy,-9.025704383850098,-9.105782508850098,-9.025704383850098,-9.105782508850098,-3.273386001586914,-4.201120376586914,0.927734375,True,-3.273386001586914,-4.201120376586914,0.927734375,True
18,flag_of_malaysia_prompt1,original_images/images/Flag of Malaysia.png,Flags,flags,Counting/Illusion,Counting/Illusion,"How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.","How many stripes are there in this flag? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly one integer. No words.",14,14,14,{14,{14,14,14,False,True,,13,13,best non-GT candidate from GT±2 by avg_logprob,GT±2,"[12, 13, 14, 15, 16]",5,5,1,1,1,-11.57350817322731,-5.786754086613655,-5.786754086613655,0.01929323934018612,0.3018314493820071,2,exact,-14.761008262634277,-7.380504131317139,-7.380504131317139,0.01929323934018612,0.3018314493820071,2,exact,3.187500089406967,1.5937500447034836,1.5937500447034836,1,True,True,1.0132672786712646,0.07102391123771667,0.04045726591721177,False,True,True,True,0.07692307692307693,1.0,GT>proxy,-5.086110472679138,-5.105641722679138,-5.086110472679138,-5.105641722679138,-0.7006436139345169,-2.2748624086380005,1.5742187947034836,True,-0.7006436139345169,-2.2748624086380005,1.5742187947034836,True
