idx,ID,topic,sub_topic,ground_truth_num,run_mode,fallback_used,original_error_before_fallback,image_resize_applied,max_image_side,original_image_width,original_image_height,processed_image_width,processed_image_height,input_ids_shape,pixel_values_shape,num_image_crops,candidate,candidate_str,status,span_mode,seq_logprob,avg_logprob,char_logprob,entropy_step1,entropy_mean,n_tokens,candidate_token_ids,token_logprobs
0,flag_of_australia_prompt1,Flags,flags,6,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,4,4,ok,exact,-5.847850799560547,-5.847850799560547,-5.847850799560547,0.7118175029754639,0.7118175029754639,1,[19],[-5.847850799560547]
0,flag_of_australia_prompt1,Flags,flags,6,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,5,5,ok,exact,-4.660350799560547,-4.660350799560547,-4.660350799560547,0.7118175029754639,0.7118175029754639,1,[20],[-4.660350799560547]
0,flag_of_australia_prompt1,Flags,flags,6,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,6,6,ok,exact,-4.011913299560547,-4.011913299560547,-4.011913299560547,0.7118175029754639,0.7118175029754639,1,[21],[-4.011913299560547]
0,flag_of_australia_prompt1,Flags,flags,6,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,7,7,ok,exact,-2.340038537979126,-2.340038537979126,-2.340038537979126,0.7118175029754639,0.7118175029754639,1,[22],[-2.340038537979126]
0,flag_of_australia_prompt1,Flags,flags,6,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,8,8,ok,exact,-3.558788537979126,-3.558788537979126,-3.558788537979126,0.7118175029754639,0.7118175029754639,1,[23],[-3.558788537979126]
2,flag_of_burundi_prompt1,Flags,flags,3,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,1,1,ok,exact,-7.521760940551758,-7.521760940551758,-7.521760940551758,0.44557300209999084,0.44557300209999084,1,[16],[-7.521760940551758]
2,flag_of_burundi_prompt1,Flags,flags,3,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,2,2,ok,exact,-6.771760940551758,-6.771760940551758,-6.771760940551758,0.44557300209999084,0.44557300209999084,1,[17],[-6.771760940551758]
2,flag_of_burundi_prompt1,Flags,flags,3,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,3,3,ok,exact,-2.459260940551758,-2.459260940551758,-2.459260940551758,0.44557300209999084,0.44557300209999084,1,[18],[-2.459260940551758]
2,flag_of_burundi_prompt1,Flags,flags,3,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,4,4,ok,exact,-4.396760940551758,-4.396760940551758,-4.396760940551758,0.44557300209999084,0.44557300209999084,1,[19],[-4.396760940551758]
2,flag_of_burundi_prompt1,Flags,flags,3,original,False,,False,,768,512,768,512,"(1, 2749)","(1, 5, 3, 384, 384)",5,5,5,ok,exact,-5.881135940551758,-5.881135940551758,-5.881135940551758,0.44557300209999084,0.44557300209999084,1,[20],[-5.881135940551758]
