idx,ID,topic,sub_topic,ground_truth_num,run_mode,fallback_used,original_error_before_fallback,image_resize_applied,max_image_side,original_image_width,original_image_height,processed_image_width,processed_image_height,input_ids_shape,pixel_values_shape,num_image_crops,candidate,candidate_str,status,span_mode,seq_logprob,avg_logprob,char_logprob,entropy_step1,entropy_mean,n_tokens,candidate_token_ids,token_logprobs,model,model_key,source_file
0,flag_of_australia_prompt1,Flags,flags,6,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,4,4,ok,exact,-5.847850799560547,-5.847850799560547,-5.847850799560547,0.7118175029754639,0.7118175029754639,1,[19],[-5.847850799560547],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
0,flag_of_australia_prompt1,Flags,flags,6,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,5,5,ok,exact,-4.660350799560547,-4.660350799560547,-4.660350799560547,0.7118175029754639,0.7118175029754639,1,[20],[-4.660350799560547],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
0,flag_of_australia_prompt1,Flags,flags,6,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,6,6,ok,exact,-4.011913299560547,-4.011913299560547,-4.011913299560547,0.7118175029754639,0.7118175029754639,1,[21],[-4.011913299560547],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
0,flag_of_australia_prompt1,Flags,flags,6,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,7,7,ok,exact,-2.340038537979126,-2.340038537979126,-2.340038537979126,0.7118175029754639,0.7118175029754639,1,[22],[-2.340038537979126],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
0,flag_of_australia_prompt1,Flags,flags,6,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,8,8,ok,exact,-3.558788537979126,-3.558788537979126,-3.558788537979126,0.7118175029754639,0.7118175029754639,1,[23],[-3.558788537979126],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
2,flag_of_burundi_prompt1,Flags,flags,3,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,1,1,ok,exact,-7.521760940551758,-7.521760940551758,-7.521760940551758,0.4455730020999908,0.4455730020999908,1,[16],[-7.521760940551758],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
2,flag_of_burundi_prompt1,Flags,flags,3,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,2,2,ok,exact,-6.771760940551758,-6.771760940551758,-6.771760940551758,0.4455730020999908,0.4455730020999908,1,[17],[-6.771760940551758],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
2,flag_of_burundi_prompt1,Flags,flags,3,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,3,3,ok,exact,-2.459260940551758,-2.459260940551758,-2.459260940551758,0.4455730020999908,0.4455730020999908,1,[18],[-2.459260940551758],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
2,flag_of_burundi_prompt1,Flags,flags,3,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,4,4,ok,exact,-4.396760940551758,-4.396760940551758,-4.396760940551758,0.4455730020999908,0.4455730020999908,1,[19],[-4.396760940551758],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
2,flag_of_burundi_prompt1,Flags,flags,3,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,5,5,ok,exact,-5.881135940551758,-5.881135940551758,-5.881135940551758,0.4455730020999908,0.4455730020999908,1,[20],[-5.881135940551758],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
4,flag_of_cape_verde_prompt1,Flags,flags,10,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,8,8,ok,exact,-1.944912314414978,-1.944912314414978,-1.944912314414978,1.0679643154144287,1.0679643154144287,1,[23],[-1.944912314414978],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
4,flag_of_cape_verde_prompt1,Flags,flags,10,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,9,9,ok,exact,-3.1480371952056885,-3.1480371952056885,-3.1480371952056885,1.0679643154144287,1.0679643154144287,1,[24],[-3.1480371952056885],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
4,flag_of_cape_verde_prompt1,Flags,flags,10,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,10,10,ok,exact,-3.675418600440025,-1.8377093002200129,-1.8377093002200129,1.0679643154144287,0.8220294415950775,2,"[16, 15]","[-3.5074121952056885, -0.16800640523433685]",LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
4,flag_of_cape_verde_prompt1,Flags,flags,10,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,11,11,ok,exact,-6.5347936153411865,-3.2673968076705933,-3.2673968076705933,1.0679643154144287,0.8220294415950775,2,"[16, 16]","[-3.5074121952056885, -3.027381420135498]",LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
4,flag_of_cape_verde_prompt1,Flags,flags,10,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,12,12,ok,exact,-5.8472936153411865,-2.9236468076705933,-2.9236468076705933,1.0679643154144287,0.8220294415950775,2,"[16, 17]","[-3.5074121952056885, -2.339881420135498]",LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
6,flag_of_china_prompt1,Flags,flags,5,original,False,,False,,768.0,512.0,768.0,512.0,"(1, 2749)","(1, 5, 3, 384, 384)",5.0,3,3,ok,exact,-8.185468673706055,-8.185468673706055,-8.185468673706055,0.3814563751220703,0.3814563751220703,1,[18],[-8.185468673706055],LLaVA-OV-7B,llava,llava_original_sequence_candidates.csv
